범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
지능범죄,유가증권인지,34,4,4,4,2,1,0,0,5,0,1,0,0,0,0,0,0,3,2,2,0,1,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5
지능범죄,사기,62317,31488,16730,19258,8613,10368,7492,1540,5990,224,1540,2243,1075,1154,2862,3262,692,6570,6094,8543,3763,5462,977,2795,1143,637,1495,4504,661,2961,1379,2809,5324,995,1472,4281,1064,252,487,564,2207,1769,245,649,5446,1348,135,524,947,776,518,978,1600,4977,1990,331,519,1932,4448,615,752,498,1517,1503,1919,1149,2279,3377,857,234,347,858,474,571,3597,1898,4592,642,625,2142,2424,7929,1006,1194,3818,13011,15428
지능범죄,횡령,16186,3918,2443,4245,1636,1285,748,200,1758,60,393,365,276,240,522,621,95,1226,1201,1495,568,946,211,763,209,82,205,847,81,809,191,437,613,147,290,744,203,24,26,73,235,197,20,76,695,148,15,75,72,138,82,122,303,767,187,31,57,209,525,67,81,81,254,231,566,254,293,258,84,19,46,100,34,69,314,235,561,58,71,280,213,870,128,214,650,422,2100
지능범죄,배임,932,337,102,168,106,94,85,30,78,4,17,37,14,16,41,45,8,62,87,68,29,45,32,42,22,20,10,66,7,22,21,54,56,16,21,41,17,2,5,5,16,21,3,11,34,14,0,7,4,20,4,13,17,63,19,7,6,11,51,11,9,14,17,11,27,7,17,14,8,3,2,10,4,3,26,20,34,10,21,21,20,78,12,16,68,81,343
풍속범죄,성풍속범죄,3564,928,524,930,355,421,233,41,314,15,88,70,54,72,79,117,20,269,393,566,163,274,39,175,49,22,58,204,26,194,97,100,134,25,48,173,53,17,10,24,78,190,8,201,204,28,4,17,16,21,21,43,61,198,72,12,11,32,202,21,27,10,61,58,46,63,45,87,19,11,6,49,15,6,81,36,139,8,18,65,58,200,23,39,147,276,526
풍속범죄,도박범죄,1241,533,394,362,150,172,351,13,120,2,21,54,19,9,21,30,21,82,207,1294,40,73,15,237,19,7,19,43,17,68,21,42,54,24,22,141,12,5,8,16,36,70,3,16,95,28,1,8,9,24,12,15,40,58,40,18,19,52,77,10,11,5,16,18,34,17,21,28,21,8,11,64,14,12,49,48,36,11,10,19,36,92,16,18,68,353,489
특별경제범죄,특별경제범죄,11539,3633,1869,2990,1161,1216,904,178,955,29,220,334,188,221,477,403,88,910,878,1134,491,972,153,468,190,82,229,615,117,452,187,395,633,148,206,680,174,49,47,119,268,216,32,79,761,144,18,43,113,110,89,139,255,601,178,47,52,172,403,65,127,74,206,213,228,186,180,280,93,31,39,93,40,40,303,233,461,58,69,331,256,884,90,183,711,893,2005
마약범죄,마약범죄,2154,865,285,759,126,113,73,34,100,4,29,42,20,13,43,60,19,103,74,176,127,151,43,110,74,24,40,83,11,108,47,92,119,87,11,120,19,7,2,4,54,66,7,22,87,77,2,24,20,40,26,29,58,92,11,3,6,24,36,18,7,13,18,58,36,25,47,47,22,21,23,36,25,12,66,23,200,30,21,61,43,174,17,9,19,135,925
보건범죄,보건범죄,3937,1713,315,733,348,280,133,58,305,7,68,120,83,38,102,163,18,241,258,331,148,232,67,161,46,25,61,161,18,77,41,83,177,29,72,227,120,51,13,29,90,26,11,14,98,37,5,10,23,214,49,319,70,169,41,6,14,42,102,13,31,18,53,62,72,18,57,50,28,7,10,32,9,6,94,108,164,31,7,69,65,269,41,25,106,60,661
환경범죄,환경범죄,39,400,11,149,5,13,57,3,54,4,3,37,5,2,7,56,7,22,5,14,20,8,2,2,81,3,15,139,0,11,42,104,109,167,18,309,15,12,7,7,28,13,1,0,2,9,0,3,5,10,5,37,5,55,17,1,2,23,24,3,11,8,14,4,32,3,70,22,27,4,10,11,1,8,45,19,116,34,26,13,26,69,24,5,11,41,707
교통범죄,교통범죄,50895,18201,19005,16771,12432,10583,8020,1337,6159,359,1717,3035,1495,1075,3207,3679,598,5573,5951,8826,5096,6495,1881,2514,1725,1130,1958,5592,818,2790,2070,2804,6637,1612,1679,5417,1645,487,553,742,2988,2175,293,1127,6849,1728,104,814,778,1477,913,1374,2411,5294,1826,591,479,1857,3868,708,1219,838,2413,2353,3041,1708,2141,3350,1084,433,730,1324,662,1036,3875,1938,3928,736,997,2400,1687,5418,1245,1904,4632,129,27287
노동범죄,노동범죄,55,18,12,9,8,11,11,1,6,0,4,4,0,1,0,0,2,10,4,3,3,4,1,2,1,0,0,2,1,2,1,1,4,3,1,6,2,2,1,1,2,2,0,0,7,0,0,1,0,1,1,2,2,5,2,0,0,3,1,3,4,4,6,3,9,0,0,2,0,0,0,1,0,3,4,1,1,0,0,1,0,0,1,6,34,3,44
안보범죄,안보범죄,124,5,7,13,2,1,0,0,0,0,0,0,0,0,2,1,0,2,3,2,1,0,1,3,1,1,2,2,0,1,0,1,6,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,13,4
선거범죄,선거범죄,201,64,18,29,30,9,10,0,9,2,8,2,3,3,4,2,3,10,7,8,2,11,18,8,3,1,3,6,6,2,3,3,5,7,3,1,4,0,0,1,4,6,1,4,8,1,0,0,1,1,2,0,1,6,3,1,4,3,19,5,0,3,8,7,18,2,7,9,0,0,6,14,1,2,10,6,9,0,2,3,5,13,3,8,20,10,84
병역범죄,병역범죄,748,205,174,288,87,102,52,17,81,2,9,26,12,11,43,72,10,50,49,68,30,40,19,30,23,7,15,31,11,51,12,43,30,17,26,47,9,9,1,4,13,14,2,5,58,19,1,4,25,22,10,6,26,88,17,3,3,20,39,13,6,3,15,16,22,27,17,62,9,3,5,11,5,4,57,25,56,1,4,55,27,65,16,29,49,60,247
기타범죄,기타범죄,41026,21878,7875,15504,4770,5085,4288,867,4018,195,1062,1606,663,582,1715,2090,426,3763,3979,5320,2061,3117,859,1905,1028,518,903,2912,410,1835,1023,1438,4943,817,873,3017,782,1016,413,378,1706,1154,180,453,2901,771,60,351,457,637,421,1407,1018,2553,3750,257,253,816,2359,392,1082,380,1024,948,3587,800,971,1336,443,188,312,615,258,315,2947,1043,2177,302,727,1245,1103,4700,1442,1888,3354,3327,26459
